Backbone,Learning Mode,Accuracy,Precision,Recall,Macro-F1,AUC-ROC,MCC
BanglishBERT,Centralized,0.8285,0.8286,0.8285,0.8285,0.9154,0.6571
mBERT,Centralized,0.8181,0.8181,0.8181,0.8181,0.9182,0.6363
DistilXLM-R,Centralized,0.8151,0.8152,0.8151,0.8150,0.9157,0.6303
MuRIL,Centralized,0.8135,0.8187,0.8136,0.8128,0.9124,0.6322
ALBERT Multilingual,Centralized,0.7005,0.7070,0.7005,0.6981,0.7892,0.4074
BanglishBERT,Federated,0.7598,0.7703,0.7597,0.7574,0.8592,0.5300
MuRIL,Federated,0.7544,0.7715,0.7543,0.7504,0.8326,0.5256
DistilXLM-R,Federated,0.7436,0.7553,0.7436,0.7406,0.8356,0.4988
mBERT,Federated,0.7336,0.7517,0.7335,0.7287,0.8423,0.4849
ALBERT Multilingual,Federated,0.6608,0.7201,0.7081,0.6604,0.7839,0.4281
